"","id","lat","lng"
"1","train_waterloo","51.5033255607962","-0.112305101427149"
"2","train_paddington","51.5168012313166","-0.17693280142678"
"3","train_kingscross","51.5319913373851","-0.123462872590509"
"4","train_liverpoolstreet","51.5188984537985","-0.0814803167697231"
"5","train_victoria","51.4953772683085","-0.143887172591629"
"6","train_londonbridge","51.5044160569607","-0.0847863302629042"
"7","air_heathrow","51.4700490126193","-0.454231128472569"
"8","air_gatwick","51.1537159154631","-0.182095088001389"
"9","air_stansted","51.8859186672658","0.238908727420117"
"10","air_londonca","51.5046433347691","0.0496360157662539"
"11","air_southend","51.5703159515388","0.692433371589413"
"12","air_luton","51.8794019115193","-0.376709901415836"
