"","name","religion","geometry"
"80","West London Synagogue of British Jews","jewish",c(-0.161970571370679, 51.5155163294446)
"81","Western Marble Arch Synagogue","jewish",c(-0.15898030763999, 51.5149908123113)
"82","South Hampstead Synagogue","jewish",c(-0.158465413947072, 51.5453806383801)
"83","Walford Road Synagogue","jewish",c(-0.0788942632726242, 51.5559289841155)
"84","Edgware and District Reform Synagogue","jewish",c(-0.288564048098173, 51.6188935115316)
"85","Woodford Progressive Synagogue","jewish",c(0.026644886030959, 51.5906956688401)
"86","Hackney Synagogue","jewish",c(-0.0537944032079167, 51.5431334184086)
"87","Shomrei Hadath Synagogue","jewish",c(-0.194029071908947, 51.5551410972588)
"88","New West End Synagogue","jewish",c(-0.190209358310242, 51.5110972672925)
"89","Golders Green Synagogue","jewish",c(-0.200200080184346, 51.5683036569732)
"90","Finchley Road Synagogue","jewish",c(-0.195454570467389, 51.569653661348)
"91","Sinai Synagogue","jewish",c(-0.207648622898862, 51.5740881345286)
"92","David Ochel","jewish",c(-0.200746463194696, 51.5743931629867)
"93","New London Synagogue","jewish",c(-0.18091577850829, 51.5346827609332)
"94","Kol Chai Reform Synagogue","jewish",c(-0.377181048599399, 51.6072430838708)
"95","Sutton Synagogue","jewish",c(-0.188652732432748, 51.3581031429247)
"96","Mosaic Reform Synagogue","jewish",c(-0.341998297672034, 51.5784689403302)
"97","Sha'arei Tsedek North London Reform Synagogue","jewish",c(-0.167188395906003, 51.6293258923364)
"98","Hendon Adath Yisroel Synagogue","jewish",c(-0.216114423471164, 51.5830261593511)
"99","Lubavitch Chabad House of Hendon","jewish",c(-0.219970229785776, 51.5864757050748)
"100","Finchley Synagogue","jewish",c(-0.201606266893322, 51.5903642001736)
"101","New North London Synagogue","jewish",c(-0.189224305297112, 51.5952163501777)
"102","Finchley Reform Synagogue","jewish",c(-0.180962876627903, 51.6077661423765)
"103","Bevis Marks Synagogue","jewish",c(-0.0789368285209509, 51.5144915535616)
"104","Sukkat Shalom Reform Synagogue","jewish",c(0.0263046692500601, 51.5849082648475)
"105","Catford Synagogue","jewish",c(-0.0164672229906085, 51.4361300745062)
"106","Bromley Reform Synagogue","jewish",c(0.00683593569467827, 51.4079430731649)
"107","Liberal Jewish Synagogue","jewish",c(-0.23797099892744, 51.5436101319168)
"108","Fieldgate Street Great Synagogue","jewish",c(-0.0655134303083414, 51.5172034335189)
"109","East London Central Synagogue","jewish",c(-0.0598993535084619, 51.515243836215)
"110","Highams Park & Chingford Synagogue","jewish",c(-0.0119198138286108, 51.6076173343339)
"111","Hampstead Synagogue","jewish",c(-0.192008174414759, 51.5498145282383)
