"","name","religion","geometry"
"352","St-Giles-without-Cripplegate","protestant",c(-0.0938229234640004, 51.5187036396319)
"353","St James","protestant",c(-0.0957219461593912, 51.5371527256427)
"354","St Clement","protestant",c(-0.097653988054216, 51.5277871993512)
"355","All Saints","protestant",c(-0.0693986470701858, 51.4693322931973)
"356","St Giles' Church","protestant",c(-0.0869178792612074, 51.4731159726449)
"357","St. Clement's Church","protestant",c(-0.215798990804039, 51.5120590848729)
"358","St Michael and St George","protestant",c(-0.230613782602083, 51.5124552461252)
"359","St. Clement with St. Peter","protestant",c(-0.0686591035000459, 51.4531470831173)
"360","St John","protestant",c(-0.275343503671805, 51.4034322325698)
"361","Holy Trinity Brompton","protestant",c(-0.169899794226995, 51.4978681630443)
"362","St James, West Hampstead","protestant",c(-0.19177613762298, 51.5458326076727)
"363","St Laurence Church","protestant",c(-0.0198073396963112, 51.442339473133)
"364","Bromley Parish Church of St Peter & St Paul","protestant",c(0.0131727437810056, 51.4049377653468)
"365","St Peter’s","protestant",c(-0.30124951988594, 51.4467146996764)
"366","Church of Saint Peter","protestant",c(-0.149066791451326, 51.4979361702018)
"367","St. Luke's","protestant",c(-0.169406793762989, 51.4896420728311)
"368","Saint George's Hanover Square","protestant",c(-0.142778739506735, 51.5125616510573)
"369","Grosvenor Chapel","protestant",c(-0.151208822237201, 51.5090339288856)
"370","St Paul","protestant",c(-0.225472899878089, 51.4914741102014)
"371","Parish Church of St Michael, Wood Green","protestant",c(-0.111664019911924, 51.599452033214)
"372","St Mary the Virgin","protestant",c(0.0325447802881346, 51.5713135156119)
"373","Saint John the Evangelist","protestant",c(-0.109170297309886, 51.4674604802269)
"374","St Matthew's Camberwell","protestant",c(-0.0988466373431777, 51.4689133953942)
"375","Church of Christ the King","protestant",c(-0.131502358867118, 51.5234905085216)
"376","St Giles-in-the-Fields","protestant",c(-0.128374667327834, 51.5153116002012)
"377","Parish Church of St James, North Cray","protestant",c(0.133187139075887, 51.4253595192564)
"378","Saint Paul's Knightsbridge","protestant",c(-0.155658508538238, 51.5014680215623)
"379","Saint Luke Eltham Park","protestant",c(0.0585471767063736, 51.4606119069454)
"380","The Parish Church of All Hallows","protestant",c(-0.0765206766206183, 51.6007545480837)
"381","St. James's Church","protestant",c(-0.105622327727359, 51.5235756187953)
"382","St Thomas' Church","protestant",c(-0.0642103041599472, 51.5698122403476)
"383","Saint Mark's","protestant",c(-0.152210743682496, 51.5378712203785)
"384","Saint Peter's Harrow","protestant",c(-0.350745687617773, 51.5769787457112)
"385","St Faith's","protestant",c(-0.310885939268518, 51.4909400774604)
"386","St. John's Church","protestant",c(0.0230091350497991, 51.4087259343971)
"387","St Andrew's Kingsbury","protestant",c(-0.261772760418214, 51.5680557003799)
"388","Church of our Most Holy Redeemer","protestant",c(-0.109171784809853, 51.5255069246742)
"389","Saint Michael and All Angels Church","protestant",c(-0.254792298855258, 51.496051505585)
"390","Saint Peter's Walworth","protestant",c(-0.0926261376879905, 51.4865719955863)
"391","Saint John's, Waterloo","protestant",c(-0.111994088068041, 51.5045451956823)
"392","Ascension Church Centre","protestant",c(0.0372242906409676, 51.5112468166498)
"393","Saint Jude-on-the-Hill","protestant",c(-0.189882140820902, 51.5801492164997)
"394","St Peter de Beauvoir Town","protestant",c(-0.080155700385291, 51.5408003026368)
"395","St. Andrews","protestant",c(0.0490923629759898, 51.4376963454694)
"396","Saint Pancras Church","protestant",c(-0.130000666963357, 51.5272039051374)
"397","St George's Bloomsbury","protestant",c(-0.124729416272121, 51.5177101934687)
"398","Saint Andrew's Church","protestant",c(-0.308883238087722, 51.3932706031151)
"399","The Parish Church of St Paul, Deptford","protestant",c(-0.0243804055724226, 51.479634285166)
"400","St. Paul's, Lorrimore Square","protestant",c(-0.100785136789893, 51.4850135705558)
"401","St Augustine's Church","protestant",c(0.051820686758338, 51.3904468631911)
"402","St Alban the Martyr","protestant",c(-0.11084741370704, 51.5197080382056)
"403","Saint Margaret's Church","protestant",c(-0.126740788373333, 51.4998426809151)
"404","St Augustine","protestant",c(0.0205920028503215, 51.4332650819533)
"405","St Mary's","protestant",c(-0.162669930963669, 51.5421820646862)
"406","The Most Holy Trinity with St Barnabas","protestant",c(-0.144889039336007, 51.5441052167336)
"407","Saint Mark's Church","protestant",c(-0.182303140219943, 51.5321086514442)
"408","Church of St Mary","protestant",c(-0.175215298259921, 51.5204369454904)
"409","St Augustine's","protestant",c(-0.0919149625709937, 51.5545871789794)
"410","St Matthias Church","protestant",c(-0.0794435159835216, 51.5525327439058)
"411","St Jude and St Paul","protestant",c(-0.0800393691122822, 51.5488393293668)
"412","St. Mary's New Church","protestant",c(-0.0845113938983458, 51.560818822238)
"413","St. Mary's Old Church","protestant",c(-0.0847473958268236, 51.5613805472205)
"414","Emmanuel","protestant",c(-0.114221113296235, 51.5590316596973)
"415","Holy Trinity, Stroud Green","protestant",c(-0.111165377666162, 51.5749801046487)
"416","St Christopher's","protestant",c(-0.0854827680140145, 51.4905572021969)
"417","Saint John The Divine","protestant",c(-0.106183745383379, 51.4775590482208)
"418","St Peter Elgin Avenue","protestant",c(-0.197170482539802, 51.5255071581977)
"419","St. Mary's","protestant",c(0.0202005667484668, 51.5979303989012)
"420","St Saviour Hampstead","protestant",c(-0.157843736634029, 51.5449021871805)
"421","All Hallows-by-the-Tower","protestant",c(-0.0792389024589183, 51.5093278433242)
"422","St George's Church","protestant",c(-0.0391259702569991, 51.6737962385994)
"423","St Matthews Church","protestant",c(-0.0432180256577399, 51.6435530161062)
"424","St Mary-at-Hill","protestant",c(-0.0837114821033745, 51.5100539445681)
"425","St Andrew's Church","protestant",c(-0.0819878380877973, 51.6530330149662)
"426","St. Andrew's Church","protestant",c(-0.132283016905285, 51.6338794260198)
"427","St.Augustine of Canterbury","protestant",c(-0.364416586556871, 51.4434505102981)
"428","St Gabriel's","protestant",c(-0.218028737537845, 51.5523726457622)
"429","St Olave's Woodberry Down","protestant",c(-0.0936885596820621, 51.5712061930189)
"430","St. Mary the Virgin","protestant",c(0.0544135467778582, 51.335919790112)
"431","Hendon St Mary","protestant",c(-0.227596278833055, 51.5915190976873)
"432","St Matthew","protestant",c(-0.214958987674361, 51.5005092455356)
"433","St Paul's Community Church","protestant",c(-0.166462296451354, 51.5242678863121)
"434","Golders Green parish church","protestant",c(-0.192842884536074, 51.5710016712109)
"435","St Mary's, Kilburn","protestant",c(-0.189223051437849, 51.5410650514592)
"436","St. John the Evangelist","protestant",c(-0.054073781630081, 51.6120664729166)
"437","The Parish Church of St Barnabas Bethnal Green","protestant",c(-0.0399841013001293, 51.5311042320421)
"438","St Paul's","protestant",c(-0.0323458891474528, 51.5331562666484)
"439","St Peter-le-Poer","protestant",c(-0.148597314293923, 51.6021561395919)
"440","Holy Innocents","protestant",c(-0.117811323072499, 51.5831803070036)
"441","Saint Agnes Church","protestant",c(-0.106676636788052, 51.4832737456099)
"442","Saint James The Less","protestant",c(-0.135202545143248, 51.490724620784)
"443","St Luke's","protestant",c(-0.0782514012931351, 51.4779575125528)
"444","All Saints, parish church of Hampton","protestant",c(-0.376625761963109, 51.4242907420601)
"445","St George's","protestant",c(-0.0832183322876658, 51.4802007181713)
"446","St Michael & All Angels","protestant",c(-0.0993710935962483, 51.4784942305206)
"447","Saint Mary's, Hadley","protestant",c(-0.193899087443115, 51.6615856455787)
"448","St John with St Andrew","protestant",c(-0.0596639711977771, 51.4773554375853)
"449","St George the Martyr","protestant",c(-0.0926330121622312, 51.5012814205877)
"450","Christ Church Peckham","protestant",c(-0.0627400395123062, 51.4820012649376)
"451","St Stephen","protestant",c(-0.135666122205112, 51.4951604386897)
"452","Gray's Inn Chapel","protestant",c(-0.112329781441124, 51.5193865332041)
"453","St John Hendon","protestant",c(-0.235987096847962, 51.5788314501712)
"454","St. Augustine's","protestant",c(-0.191549924836362, 51.533140122308)
"455","St Anne's","protestant",c(-0.151000402898515, 51.5626462417129)
"456","The Parish Church of St John the Evangelist","protestant",c(-0.130226872161717, 51.5638003324731)
"457","St Andrew's","protestant",c(-0.142456836818686, 51.5977426520483)
"458","Christ Church Hendon","protestant",c(-0.219946222178065, 51.5852692805922)
"459","St Paul's Tottenham","protestant",c(-0.0637267786665502, 51.6021852024706)
"460","St Aldhelm","protestant",c(-0.0805027810387369, 51.6168224695502)
"461","St Benet Fink Church","protestant",c(-0.0910711315249996, 51.5973098986936)
"462","St Bartholomew","protestant",c(-0.0695911168019277, 51.5763756150077)
"463","St James-the-Less","protestant",c(-0.047866970057378, 51.531825202364)
"464","Church of St Philip","protestant",c(-0.0697656278217071, 51.486719613344)
"465","St Andrew the Apostle CofE","protestant",c(-0.231610557311477, 51.5468817590205)
"466","Christchurch with St Lawrence","protestant",c(-0.210659917248037, 51.5437602408925)
"467","St Thomas Kensal Town","protestant",c(-0.209660017235422, 51.5259221372317)
"468","St Michael-at-Bowes","protestant",c(-0.114640224930643, 51.6097256677396)
"469","All Saints Church of England Highams Park","protestant",c(0.00228444883338835, 51.609554947777)
"470","St Matthew's Church Bayswater","protestant",c(-0.191176248721587, 51.511665240387)
"471","St George's Church, Campden Hill","protestant",c(-0.199953752194013, 51.5069786467781)
"472","St. Johns Church","protestant",c(-0.205746843908, 51.5106283782675)
"473","St Peter's","protestant",c(-0.202697656783255, 51.5127126542957)
"474","Emmanuel Church","protestant",c(-0.414715478846414, 51.6086890331505)
"475","St. Mary, Newington","protestant",c(-0.104515444399436, 51.4890193983917)
"476","St Peter's Church","protestant",c(-0.100948671836268, 51.6433022501454)
"477","Saint John the Evangelist Church","protestant",c(-0.301582941017052, 51.5526850155635)
"478","St. Andrew Parish Church of Sudbury","protestant",c(-0.323998188009739, 51.5584713954245)
"479","St James Alperton","protestant",c(-0.293805209532871, 51.5427952013102)
"480","Christ Church Roxeth","protestant",c(-0.34303037100124, 51.5678843130651)
"481","Parish Church of St John The Evangelist","protestant",c(-0.0954426577188924, 51.4906467921176)
"482","All Souls","protestant",c(-0.247959599389674, 51.5353358408414)
"483","St Matthew's Church","protestant",c(-0.248859437982232, 51.5417148457598)
"484","Parish Church of St. Stephen","protestant",c(-0.183562478548986, 51.4956655034645)
"485","St Jude's","protestant",c(-0.187501176174379, 51.4934250961766)
"486","St Luke's, Redcliffe Gardens","protestant",c(-0.189374095607795, 51.4877304650924)
"487","St. Marylebone Parish Church","protestant",c(-0.152318386653528, 51.522654250558)
"488","St Peter the Apostle","protestant",c(-0.0505918707388807, 51.6285121715951)
"489","Christ Church, West Green with St Peter","protestant",c(-0.0974715373141464, 51.5885373955988)
"490","St Ann's","protestant",c(-0.0844436873669321, 51.5812639456543)
"491","Church of St Andrew","protestant",c(-0.0803323994096585, 51.5706272302113)
"492","The Parish Church of St. Paul, Harringay","protestant",c(-0.103931066219891, 51.5783434153687)
"493","St Augustine Grahame Park","protestant",c(-0.245792060867237, 51.6033182299085)
"494","John Keble Church","protestant",c(-0.261770987503659, 51.6147458456729)
"495","St Mary's West Twyford","protestant",c(-0.286558072163149, 51.5345580148175)
"496","St. Stephen's Church Centre","protestant",c(-0.318372391819332, 51.5194886372988)
"497","St. Mary with St. Nicholas - Perivale","protestant",c(-0.309425758252299, 51.5362148940389)
"498","St Alphage, Hendon","protestant",c(-0.262887084681412, 51.5985526122228)
"499","St Helen's","protestant",c(-0.218029326921719, 51.5188406277268)
"500","The Church of the Annunciation","protestant",c(-0.158562866334812, 51.5144228306447)
"501","Holy C of E Trinity","protestant",c(-0.0728597135512334, 51.544386543241)
"502","St Barnabas","protestant",c(-0.0714024873287735, 51.5528380953382)
"503","St Mark's Dalston","protestant",c(-0.0704267107390983, 51.5493841538776)
"504","St Saviour's Priory","protestant",c(-0.0693117329791368, 51.5321072511883)
"505","Saint Chad's Church","protestant",c(-0.0733036908004011, 51.5316624840873)
"506","Chelsea Old Church","protestant",c(-0.171003025214099, 51.4830440652045)
"507","St Paul, Onslow Square","protestant",c(-0.174694842227247, 51.4915860088375)
"508","All Hallows","protestant",c(-0.157036110187494, 51.555553765588)
"509","St Martin's","protestant",c(-0.152867922146422, 51.5518843489633)
"510","St Paul's Church","protestant",c(-0.140322370816195, 51.4688764340252)
"511","Parish Church of Saint Peter, Clapham","protestant",c(-0.135004379077798, 51.4634200834396)
"512","Parish Church of the Holy Spirit","protestant",c(-0.140034063005602, 51.4549109036081)
"513","St. Stephen's Church","protestant",c(-0.139003840551971, 51.447343923011)
"514","Anglican chapel","protestant",c(-0.181968373118919, 51.5922397446416)
"515","Holy Trinity East Finchley","protestant",c(-0.173908181180098, 51.5921898989283)
"516","St. Michael's Church and Community Centre","protestant",c(-0.0373383134576131, 51.4806826278431)
"517","St Annes Church","protestant",c(-0.0690276199836911, 51.4908579426181)
"518","St John the Baptist","protestant",c(-0.094829620927526, 51.6733218122613)
"519","St Philip's","protestant",c(-0.196146316239524, 51.4958350411651)
"520","Dagenham Parish Church of SS Peter & Paul","protestant",c(0.162107141050293, 51.5397382005199)
"521","Saint Faiths","protestant",c(-0.0900119292962665, 51.4567130559725)
"522","St Botolph-without-Bishopsgate","protestant",c(-0.0816119653320397, 51.516670415446)
"523","Christ The Saviour","protestant",c(-0.305025087426665, 51.5135061800116)
"524","St Matthew's at the Elephant","protestant",c(-0.0965653080543866, 51.4950285991713)
"525","Saint Andrew's","protestant",c(-0.106692427208734, 51.5023793074748)
"526","St. Mary-Le-Bow","protestant",c(-0.0935523096534718, 51.5137275535262)
"527","The Isleworth Parish Church All Saints","protestant",c(-0.319806476193172, 51.4716597773942)
"528","Holy Innocents Church","protestant",c(-0.25660201866959, 51.5826435254011)
"529","St Matthias Colindale","protestant",c(-0.245103771245847, 51.5863389407323)
"530","St. Anselms Church","protestant",c(-0.312243272012854, 51.6005121894088)
"531","St Alphege","protestant",c(-0.102276373676148, 51.5018606619524)
"532","St Stephen's, Walthamstow","protestant",c(-0.0113878919389699, 51.5785289895267)
"533","St Barnabas Walthamstow","protestant",c(-0.0210879652240299, 51.5768540226953)
"534","All Saint's Church","protestant",c(-0.335767933048249, 51.6125461903083)
"535","Saint John of Jerusalem","protestant",c(-0.0460761626380344, 51.5404288096321)
"536","The Ascension of Our Lord","protestant",c(-0.157297901797498, 51.4654999042416)
"537","St Mary the Virgin Putney","protestant",c(-0.21367858278426, 51.4656564187186)
"538","St Matthew's","protestant",c(-0.4731614021352, 51.5130379771652)
"539","St Andrews Whitehall Park","protestant",c(-0.135674233493615, 51.5694392850962)
"540","Saint Mary","protestant",c(-0.394084749587534, 51.5597203821946)
"541","St Andrews","protestant",c(0.109113626058674, 51.3845046670897)
"542","St Mary Magdalen","protestant",c(-0.0808301071746709, 51.4983821966335)
"543","St James Norlands","protestant",c(-0.213161296515301, 51.5082642182167)
"544","Holy Trinity Swiss Cottage","protestant",c(-0.179041470926397, 51.5469477791711)
"545","Emmanuel Church, West Hampstead","protestant",c(-0.192515365758027, 51.5526787920128)
"546","St Stephen Walbrook","protestant",c(-0.0898281508085468, 51.5126233980796)
"547","St John on Bethnal Green","protestant",c(-0.0549046329481978, 51.5275687776726)
"548","Ss Peter and Paul Church","protestant",c(-0.0311439956604251, 51.6711497225631)
"549","St Richard's Church of Ham","protestant",c(-0.319618342948147, 51.4363497336056)
"550","Holy Cross Church","protestant",c(-0.123249475061311, 51.5274794393111)
"551","St. Michael's Camden Town","protestant",c(-0.141492925151874, 51.5401335065711)
"552","Acton Community Church","protestant",c(-0.272891456933554, 51.508763752312)
"553","St. Etheldreda","protestant",c(-0.214706251684142, 51.4750211440638)
"554","The Church Of St Martin Within Ludgate","protestant",c(-0.101943378735446, 51.5140801846668)
"555","St Botolph's Aldgate","protestant",c(-0.0763197977474859, 51.51408326435)
"556","St James, Clapton","protestant",c(-0.0564147403108305, 51.5573806704378)
"557","St Mary Abbots","protestant",c(-0.191675560750236, 51.5023326914661)
"558","St Johns Church","protestant",c(-0.181154744581568, 51.5552891811264)
"559","St John's Church Centre","protestant",c(-0.180491223116982, 51.4817018052767)
"560","Saint Leonard","protestant",c(-0.0772251874386781, 51.5268225817066)
"561","St Simon Zelotes","protestant",c(-0.162245805155218, 51.4946397991354)
"562","St. Simons","protestant",c(-0.219627175275833, 51.5022019983031)
"563","St Martin","protestant",c(-0.223939408933801, 51.5312088438356)
"564","St Barnabas Church","protestant",c(-0.206316862658015, 51.4991670626805)
"565","St Michael's Church","protestant",c(-0.150299484261749, 51.5688686213263)
"566","St John's Church","protestant",c(0.00297967763983886, 51.5418480319587)
"567","St Alban's, Becontree","protestant",c(0.132969422985259, 51.536567108623)
"568","St Saviour's Church","protestant",c(-0.184231079054872, 51.5235472220379)
"569","St Martin's Church, Dagenham Dock","protestant",c(0.145367968817644, 51.532232340881)
"570","St Elisabeth's, Becontree","protestant",c(0.128328974895763, 51.5513815953732)
"571","Parish Church of St. John the Evangelist","protestant",c(-0.300727521536471, 51.4030836518758)
"572","St Cedd's Church","protestant",c(0.11370518059249, 51.54426240303)
"573","St Thomas's Church, Becontree","protestant",c(0.122907709799039, 51.5590389690323)
"574","Hartley Brook Church","protestant",c(0.149477259778594, 51.5679092535249)
"575","St Mary, Dagenham","protestant",c(0.140156550453436, 51.5559991546779)
"576","St George's, Becontree","protestant",c(0.151973599191232, 51.5460456723106)
"577","St John the Divine, Rivers of Joy Parish","protestant",c(0.118862912626321, 51.5345813454396)
"578","The Guild Church of Saint Lawrence Jewry","protestant",c(-0.0924082300680643, 51.5152766768744)
"579","Tower of All Hallows Staining","protestant",c(-0.0804427374717475, 51.5115626954019)
"580","St. Paul's Church","protestant",c(-0.0992634536751583, 51.4547745166829)
"581","Temple Church","protestant",c(-0.110175822597455, 51.5132311375339)
"582","St John's","protestant",c(-0.317130582482248, 51.5099533238232)
"583","Saint John's Downshire Hill","protestant",c(-0.169729120769015, 51.5558837866465)
"584","St Bartholomew's","protestant",c(-0.0580696144066128, 51.4279446074557)
"585","St Edward's, Romford","protestant",c(0.180622557510959, 51.5791982737097)
"586","St Peter's & St Paul's","protestant",c(0.00112465191585172, 51.6311829555868)
"587","St Peter Vauxhall","protestant",c(-0.11866965052354, 51.486775931378)
"588","Holy Trinity with St Augustine","protestant",c(0.00439683973539452, 51.5570231604431)
"589","Holy Trinity Church","protestant",c(-0.0714167697672006, 51.5883217568872)
"590","Saint Cuthbert with Saint Matthias","protestant",c(-0.200515862333825, 51.4912218438219)
"591","Croydon Minster","protestant",c(-0.105889205007279, 51.3726982792223)
"592","Guild Church of Saint Margaret Pattens","protestant",c(-0.0829574258574444, 51.5108002410918)
"593","St Olave Hart Street","protestant",c(-0.0794466118673827, 51.5108511965051)
"594","St Clements Church","protestant",c(-0.0867684963872349, 51.5113499112611)
"595","St Magnus the Martyr","protestant",c(-0.0861813080004661, 51.5092799949056)
"596","St. James Garlickhythe","protestant",c(-0.0936611301850549, 51.5111097910211)
"597","All Saints, West Ham","protestant",c(0.00870658309157436, 51.5364459178183)
"598","St Saviours Church","protestant",c(0.0210117903231481, 51.5519493425596)
"599","Christs Chapel","protestant",c(-0.0860507516039059, 51.4462663251593)
"600","All Saints Church, Orpington","protestant",c(0.105825399882965, 51.3778021829423)
"601","The Parish Church of Saint Mary","protestant",c(-0.214453479741455, 51.4936389026157)
"602","St Thomas with St Stephen","protestant",c(-0.134409363846723, 51.4419427201015)
"603","St. Peter's","protestant",c(-0.114731985222232, 51.4318136646509)
"604","St Katharine Cree","protestant",c(-0.0789990173962151, 51.5133931797537)
"605","St Stephen Church","protestant",c(-0.214689892818441, 51.6480104342663)
"606","St John the Baptist (Barnet Church)","protestant",c(-0.200912220360084, 51.6531542051963)
"607","St Paul, Harold Hill","protestant",c(0.235684725291527, 51.6056124014647)
"608","Parish Church of Saint John The Baptist","protestant",c(-0.214157178927222, 51.5032752072628)
"609","St Peter's Arkley","protestant",c(-0.232065328526681, 51.6473844498703)
"610","St Alban, Great Ilford","protestant",c(0.0761843615707741, 51.5566178093469)
"611","St John the Evangelist, Seven Kings","protestant",c(0.0952702078375849, 51.5712901928083)
"612","St Patricks, Barking","protestant",c(0.0952634058977406, 51.5336563451309)
"613","St Luke's Cranham","protestant",c(0.267718234639897, 51.5675431474295)
"614","Christ Church, Barnet","protestant",c(-0.204421342684455, 51.6586789141672)
"615","Saint Andrew Undershaft","protestant",c(-0.0810627468757033, 51.5137207672087)
"616","St Chad, Chadwell Heath","protestant",c(0.136395247482324, 51.5711163793464)
"617","The Ascension, Collier Row","protestant",c(0.160121078616443, 51.5988236276425)
"618","All Saints, Hornchurch","protestant",c(0.220844537197105, 51.5827470903883)
"619","St Paul's, Hainault","protestant",c(0.110048849988957, 51.6105070816759)
"620","St Mark","protestant",c(-0.185004616335702, 51.6530756102443)
"621","The Guild Church of Saint Benet","protestant",c(-0.0992191690920471, 51.511690399083)
"622","All Hallows On The Wall","protestant",c(-0.0842693913398715, 51.5165780119644)
"623","St Paul's Ealing","protestant",c(-0.318226306425404, 51.5001211014508)
"624","St Mary Aldermary","protestant",c(-0.093270706417057, 51.512735810256)
"625","Saint Matthias","protestant",c(-0.295768611013973, 51.4566447246611)
"626","St Alfege, Greenwich","protestant",c(-0.00971113948227777, 51.4804618110661)
"627","St Mary's The Virgin (East Barnet Parish Church)","protestant",c(-0.156082408909106, 51.6353171244556)
"628","St Michael Paternoster Royal","protestant",c(-0.0920783813067135, 51.5111929842943)
"629","Queen's Chapel","protestant",c(-0.136849749128804, 51.5049595963734)
"630","St Peter-in-the-Forest","protestant",c(0.00624885664474295, 51.5871795226102)
"631","St. Michael and All Angels with St. James","protestant",c(-0.101070949863369, 51.3783032530616)
"632","St Ethelburga-the-Virgin within Bishopsgate","protestant",c(-0.0819761057659626, 51.5154846623675)
"633","St Michael's Cornhill","protestant",c(-0.0854151455872751, 51.5131693223804)
"634","Saint Edmund King and Martyr","protestant",c(-0.0862402569193138, 51.5124439046938)
"635","St Peter-upon-Cornhill Church","protestant",c(-0.0845607684284916, 51.5131979871644)
"636","Saint Benet and All Saints' Church","protestant",c(-0.138438256516248, 51.5542463644855)
"637","St. Anne and St. Agnes","protestant",c(-0.0962864157347109, 51.5164818686884)
"638","St Botolph's-without-Aldersgate Church","protestant",c(-0.097230854874023, 51.5169799835173)
"639","St James, Sussex Gardens","protestant",c(-0.17651167693444, 51.51305136678)
"640","St Bartholomew The Less","protestant",c(-0.100635180240111, 51.5178752042655)
"641","St Michael's","protestant",c(-0.117134062597696, 51.471798132402)
"642","St. Mary The Blessed Virgin","protestant",c(-0.0322150117071694, 51.358451140513)
"643","St. Paul's","protestant",c(-0.13401128381075, 51.3531383749504)
"644","St Peter's Church, Brockley","protestant",c(-0.0306462892730454, 51.4650504418258)
"645","St James' Church","protestant",c(-0.169759085477282, 51.649519882231)
"646","Christ Church Cockfosters","protestant",c(-0.152341552302285, 51.6515421877846)
"647","St Catherine's Hatcham","protestant",c(-0.0443877497395577, 51.4676922678651)
"648","St John The Evangelist","protestant",c(-0.118084508058064, 51.3077204316958)
"649","St. Mary & St. Peter","protestant",c(0.217415259997295, 51.5064899393361)
"650","St. Helen & St. Giles","protestant",c(0.190610535609177, 51.51833114728)
"651","Saint Barnabas","protestant",c(-0.160962750973175, 51.4614230568528)
"652","St John's Hyde Park","protestant",c(-0.168292281335813, 51.5154323104405)
"653","Saint Nicholas","protestant",c(-0.0227131425067756, 51.481981029271)
"654","Saint Matthew's Church","protestant",c(-0.0671692091532012, 51.5251395930742)
"655","Ascension, Balham Hill","protestant",c(-0.149379024673705, 51.4507201287329)
"656","St Alban's Church","protestant",c(-0.0927390175338491, 51.3979694759539)
"657","Saint Michael's","protestant",c(-0.166955431776267, 51.4541940979861)
"658","St Anselm Kennington Cross","protestant",c(-0.111758365078383, 51.4887543119167)
"659","St. Margarets Church","protestant",c(-0.27866341304091, 51.6114539680827)
"660","All Saints' Church, East Finchley","protestant",c(-0.159508515116792, 51.5918420207914)
"661","St John's Parish Centre","protestant",c(-0.154467606937646, 51.6130957881979)
"662","Oakleigh Community Church","protestant",c(-0.162490619215067, 51.6276519700158)
"663","All Saints' Friern Barnet","protestant",c(-0.166419034788619, 51.6291909002808)
"664","St Augustine of Canterbury","protestant",c(0.188839293789834, 51.4719025705714)
"665","St Giles the Abbot","protestant",c(0.0723230734309822, 51.3578346356198)
"666","St Andrew by the Wardrobe","protestant",c(-0.101246701750261, 51.5123830152965)
"667","St Anne and All Saints","protestant",c(-0.124455987836907, 51.4826872641366)
"668","Chapel","protestant",c(-0.0411477141544454, 51.5113578428519)
"669","Holy Cross","protestant",c(-0.235885088786364, 51.3981825142511)
"670","St Saviour","protestant",c(-0.229845486238032, 51.4054961958993)
"671","St Paul's Church, Furzedown","protestant",c(-0.153936403649856, 51.4239056950202)
"672","Keston Parish Church","protestant",c(0.0353066189124336, 51.3483282346573)
"673","St Nicholas and All Hallows, East India Docks","protestant",c(-0.0055196425587464, 51.5142474497003)
"674","St Martin of Tours","protestant",c(0.123545589756771, 51.3558577621296)
"675","St. George's","protestant",c(-0.400884920699545, 51.4350163282504)
"676","St Paul's Finchley","protestant",c(-0.186547942346917, 51.6029728777886)
"677","St. Cedd","protestant",c(0.0525913275354666, 51.5952996117078)
"678","All Saints Sanderstead","protestant",c(-0.0756611300544419, 51.3366509340665)
"679","St.John The Divine","protestant",c(-0.0660643948700681, 51.3423255252949)
"680","St Mary","protestant",c(0.114778288125666, 51.3952382986066)
"681","St. Mary's Sanderstead","protestant",c(-0.0935892902715272, 51.3443724173097)
"682","Saint Gabriel's","protestant",c(-0.00535957453407604, 51.5892061138343)
"683","St Olave's Church","protestant",c(-0.139906769584137, 51.4079150290047)
"684","Church of Saint Laurence","protestant",c(0.24796079691375, 51.5557746512975)
"685","St. Michael & All Angels","protestant",c(0.201536347095414, 51.5876307680158)
"686","St Bartholomew's Church & Centre","protestant",c(0.0523261280487, 51.5325284921886)
"687","St Christopher's Church","protestant",c(-0.338459137485572, 51.5224156953898)
"688","St John the Evangelist Hammersmith","protestant",c(-0.229907381049647, 51.4947100011618)
"689","Chiswick Parish Church","protestant",c(-0.250548244557371, 51.4859193871613)
"690","St Andrew","protestant",c(-0.102471440175095, 51.3679578861438)
"691","Holy Trinity, Lyonsdown","protestant",c(-0.175853269577885, 51.6476035739205)
"692","Parish of All Hallows","protestant",c(-0.332795830179153, 51.5509741524085)
"693","St Margaret Lothbury","protestant",c(-0.0887715053083959, 51.5148308463948)
"694","The Parish Church of St Mary, Hanwell","protestant",c(-0.347471500680462, 51.5138016652565)
"695","Cudham Church","protestant",c(0.0722233609330215, 51.320339084076)
"696","Christ the Redeemer","protestant",c(-0.36595981841453, 51.5262183061464)
"697","St Nicholas","protestant",c(0.0750956843904248, 51.4098848919764)
"698","St Joseph the Worker & Dovetail Centre","protestant",c(-0.393190610299853, 51.5350521582715)
"699","St Richard's Church","protestant",c(-0.366658060642649, 51.5511599023376)
"700","Christ Church West Croydon","protestant",c(-0.109365194712993, 51.3824850202646)
"701","Saint Stephen's","protestant",c(-0.228971839256731, 51.5057546969908)
"702","St Edmund's Church","protestant",c(-0.093663444280782, 51.3304006937055)
"703","St. Barnabas Church","protestant",c(-0.177054288245797, 51.6196292834606)
"704","St Saviour's Parish Church","protestant",c(-0.117343762875259, 51.5697153331707)
"705","Saint Cuthberts Church","protestant",c(-0.320681408858622, 51.5696221157854)
"706","St Cyprian's","protestant",c(-0.15996869348316, 51.5243613266453)
"707","St Mark's with St Margaret","protestant",c(0.0874376151840467, 51.4816280071511)
"708","Parish Church of the Holy Trinity","protestant",c(-0.370248522005331, 51.5111678451062)
"709","Church of the Ascension","protestant",c(-0.288492004838356, 51.5706771159704)
"710","Church of St Philip the Apostle","protestant",c(-0.0656160401849722, 51.4302807267695)
"711","Church of the Annunciation","protestant",c(-0.306404209843958, 51.5683751561668)
