"","name","type","geometry"
"956","Bar: Bar 160","nightlife",c(-0.1258994, 51.4598243)
"957","Bar: The Fable","nightlife",c(-0.1049038, 51.5173437)
"958","Bar: Voltaire","nightlife",c(-0.1044686, 51.5124312)
"959","Bar: Evans & Peel Detective Agency","nightlife",c(-0.1910842, 51.4900511)
"960","Bar: Karaoke Box","nightlife",c(-0.1032822, 51.5178386)
"961","Bar: At The Hampshire","nightlife",c(-0.1293978, 51.5098801)
"962","Bar: The Slug and Lettuce","nightlife",c(-0.1094647, 51.5147459)
"963","Bar: Zelas","nightlife",c(-0.1413868, 51.5740275)
"964","Bar: Booma","nightlife",c(-0.1128826, 51.4714895)
"965","Bar: Simmons","nightlife",c(-0.1135526, 51.5127385)
"966","Bar: Cabin Bar","nightlife",c(-0.1762073, 51.5162851)
"967","Bar: Alliance Sports Lounge","nightlife",c(-0.1353535, 51.4601794)
"968","Bar: City of London Distillery","nightlife",c(-0.1050334, 51.5139608)
"969","Bar: Merchant House of Fleet Street","nightlife",c(-0.1048006, 51.5138713)
"970","Bar: Northcote Records","nightlife",c(-0.1670563, 51.4604541)
"971","Bar: The Junction","nightlife",c(-0.0995719, 51.4670812)
"972","Bar: Savage Garden LDN","nightlife",c(-0.0779717, 51.5111126)
"973","Bar: The Nook Sports Bar","nightlife",c(-0.1207138, 51.5113778)
"974","Bar: The Vault","nightlife",c(-0.0761775, 51.5043533)
"975","Bar: The Port House","nightlife",c(-0.1231637, 51.5098785)
"976","Bar: Roxy Bar and Screen","nightlife",c(-0.0922982, 51.5027084)
"977","Bar: The Bottle Shop","nightlife",c(-0.073223, 51.4984945)
"978","Bar: Folklore","nightlife",c(-0.0724467, 51.5307206)
"979","Bar: Henson’s Bar","nightlife",c(-0.1319284, 51.5140718)
"980","Bar: Ballie Ballerson","nightlife",c(-0.0749773, 51.5537338)
"981","Bar: Cahoots","nightlife",c(-0.1385235, 51.5124364)
"982","Bar: Cork & Bottle Wine Bar","nightlife",c(-0.1288884, 51.5110845)
"983","Bar: The Light Lounge","nightlife",c(-0.1295651, 51.5118747)
"984","Bar: BRIXTON ROOFTOP BEACHE","nightlife",c(-0.1127555, 51.4628902)
"985","Bar: Bar Termini","nightlife",c(-0.1297828, 51.5136688)
"986","Bar: Vertigo 42, Champagne Bar","nightlife",c(-0.083811, 51.5150814)
"987","Bar: London Fields Roof Garden","nightlife",c(-0.0578622, 51.5427207)
"988","Bar: Platform","nightlife",c(-0.0859199, 51.521985)
"989","Bar: Flight Club","nightlife",c(-0.0864063, 51.5219828)
"990","Bar: Mother Kelly's","nightlife",c(-0.1226988, 51.487936)
"991","Bar: The Juice Unit","nightlife",c(-0.1146637, 51.4641767)
"992","Bar: frank's cafe","nightlife",c(-0.0667794, 51.4708881)
"993","Bar: Cellar","nightlife",c(-0.1313125, 51.4646391)
"994","Bar: Sama","nightlife",c(-0.1037409, 51.506658)
"995","Bar: London Sky Bar","nightlife",c(-0.1260013, 51.4920641)
"996","Bar: Rooftop Bar","nightlife",c(-0.0960534, 51.513536)
"997","Bar: Marriott Gillray’s Steakhouse & Bar","nightlife",c(-0.1196312, 51.5017194)
"998","Bar: Traders","nightlife",c(-0.0713271, 51.5071945)
"999","Bar: Clarendon Cocktail Cellar","nightlife",c(-0.1449332, 51.4905266)
"1000","Bar: Experimental Cocktail Club","nightlife",c(-0.1309525, 51.5119149)
"1001","Bar: Cafe Piazza","nightlife",c(-0.0833897, 51.5056315)
"1002","Bar: Leopard Champagne Bar","nightlife",c(-0.1434037, 51.4984369)
"1003","Bar: Vagabond","nightlife",c(-0.1438369, 51.4976182)
"1004","Bar: Notes","nightlife",c(-0.143354, 51.4976701)
"1005","Bar: Nightjar","nightlife",c(-0.0877808, 51.5264775)
"1006","Bar: Tonight Josephine","nightlife",c(-0.1103672, 51.5027825)
"1007","Bar: arcola bae","nightlife",c(-0.0755392, 51.5473623)
"1008","Bar: Skylight","nightlife",c(-0.0604754, 51.5082315)
"1009","Bar: nat.ive","nightlife",c(-0.0927099, 51.5048433)
"1010","Bar: Storey's Wine Bar","nightlife",c(-0.129778, 51.5004932)
"1011","Bar: Burgess and Hall Wines","nightlife",c(0.0188213, 51.555486)
"1012","Bar: Lucy 1st","nightlife",c(-0.1218216, 51.4724772)
"1013","Bar: Pretty Decent Beer Co","nightlife",c(0.0175507, 51.5567368)
"1014","Bar: Bar Salsa","nightlife",c(-0.1143845, 51.5110031)
"1015","Bar: Blake's","nightlife",c(-0.1499293, 51.4664055)
"1016","Bar: Club Ebony","nightlife",c(-0.0939097, 51.4837131)
"1017","Bar: Untitled Bar","nightlife",c(-0.0756517, 51.544659)
"1018","Bar: Blue Bar","nightlife",c(-0.1560714, 51.5019366)
"1019","Bar: Missoula","nightlife",c(0.1830551, 51.575868)
"1020","Bar: Kosho","nightlife",c(0.1820824, 51.5764318)
"1021","Bar: The Institute","nightlife",c(-0.1281357, 51.5225336)
"1022","Bar: Mozah Añx","nightlife",c(-0.09397, 51.4761008)
"1023","Bar: Hispania","nightlife",c(-0.0876847, 51.5128897)
"1024","Bar: Merchants Tavern","nightlife",c(-0.0810293, 51.5250466)
"1025","Bar: The Azulito Bar","nightlife",c(-0.1336784, 51.5132313)
"1026","Bar: Lounge Bar","nightlife",c(-0.1270723, 51.5140859)
"1027","Bar: Basement Sate","nightlife",c(-0.1349238, 51.5140119)
"1028","Bar: The Piano Bar Soho","nightlife",c(-0.1337852, 51.5149415)
"1029","Bar: Press Juice Bar","nightlife",c(-0.1346273, 51.5108399)
"1030","Bar: Jak’s","nightlife",c(-0.1853958, 51.4803819)
"1031","Bar: The Speakeasy","nightlife",c(-0.0746574, 51.546325)
"1032","Bar: Vetro Enoteca","nightlife",c(-0.1365931, 51.5145071)
"1033","Bar: Broadleaf","nightlife",c(-0.0833648, 51.5151143)
"1034","Bar: Disrepute","nightlife",c(-0.1383961, 51.512215)
"1035","Bar: Crazy Bear Fitzrovia","nightlife",c(-0.1342162, 51.5196639)
"1036","Bar: Brilliant Corners","nightlife",c(-0.0759217, 51.5431824)
"1037","Bar: Ruby's","nightlife",c(-0.0746865, 51.5526373)
"1038","Bar: Karaoke box","nightlife",c(-0.1418099, 51.5134362)
"1039","Bar: Hive","nightlife",c(-0.0571002, 51.5341865)
"1040","Bar: V Bar","nightlife",c(-0.0555962, 51.5428075)
"1041","Bar: Joe & The Juice","nightlife",c(-0.1419465, 51.5130654)
"1042","Bar: Off The Wall Bar and Restaurant","nightlife",c(-0.0880153, 51.5161228)
"1043","Bar: Bunch London","nightlife",c(-0.0668882, 51.469939)
"1044","Bar: Bosse and Baum","nightlife",c(-0.0670003, 51.4699259)
"1045","Bar: Madison's Bar","nightlife",c(-0.0203201, 51.5317128)
"1046","Bar: Barts","nightlife",c(-0.1672517, 51.4926373)
"1047","Bar: Ninetyeight Bar & Lounge","nightlife",c(-0.0800922, 51.524955)
"1048","Bar: Deviant & Dandy Brewery","nightlife",c(-0.0519069, 51.5473742)
"1049","Bar: Frames Sports Bar","nightlife",c(-0.1392455, 51.3195711)
"1050","Bar: Stanley Lounge","nightlife",c(-0.2019554, 51.5407723)
"1051","Bar: little bird","nightlife",c(-0.0756396, 51.499294)
"1052","Bar: Scream Lounge","nightlife",c(-0.0994147, 51.3665824)
"1053","Bar: Twickenham Fine Ales","nightlife",c(-0.3454594, 51.4451891)
"1054","Bar: Crispins Wine Bar","nightlife",c(-0.3052066, 51.5110359)
"1055","Bar: Greenwich Kitchen","nightlife",c(0.0055823, 51.5005407)
"1056","Bar: Friends Bar & Restaurant","nightlife",c(0.0053175, 51.5535712)
"1057","Bar: Rama Dracula Wine House","nightlife",c(0.0053396, 51.5541916)
"1058","Bar: Searcys Champagne Bar","nightlife",c(-0.0079708, 51.54387)
"1059","Bar: Beatbox","nightlife",c(-0.0935263, 51.3750886)
"1060","Bar: Boxpark Bar","nightlife",c(-0.0939716, 51.3749597)
"1061","Bar: The Cronx","nightlife",c(-0.0939646, 51.3748453)
"1062","Bar: Imperial Lounge & Restaurant","nightlife",c(-0.1172361, 51.3565545)
"1063","Bar: The City","nightlife",c(0.0500672, 51.5038759)
"1064","Bar: The Beast of Brixton","nightlife",c(-0.1247517, 51.4594463)
"1065","Bar: Crussh","nightlife",c(-0.1453282, 51.50767)
"1066","Bar: Beachcomber","nightlife",c(-0.1874985, 51.5129602)
"1067","Bar: The Union","nightlife",c(-0.2469036, 51.4551595)
"1068","Bar: East London Liquor Company","nightlife",c(-0.0417486, 51.5319937)
"1069","Bar: May Fair Bar","nightlife",c(-0.1440801, 51.508026)
"1070","Bar: Berkeley Street Bar","nightlife",c(-0.143934, 51.5085978)
"1071","Bar: Prosecco House","nightlife",c(-0.0782889, 51.5038033)
"1072","Bar: The Tale Bar","nightlife",c(-0.1494946, 51.5047367)
"1073","Bar: Backstage Bar","nightlife",c(-0.1735428, 51.5443964)
"1074","Bar: The Dog & Duck","nightlife",c(-0.1047796, 51.6255117)
"1075","Bar: PimpShuei","nightlife",c(-0.1126757, 51.5227932)
"1076","Bar: London City Runners","nightlife",c(-0.0730964, 51.498524)
"1077","Bar: Mosquito Bar","nightlife",c(-0.1297151, 51.4650296)
"1078","Bar: Mordens","nightlife",c(0.0084516, 51.4666544)
"1079","Bar: The Escapologist","nightlife",c(-0.1263776, 51.5138967)
"1080","Bar: Bar 190","nightlife",c(-0.1797695, 51.5002641)
"1081","Bar: Fanny's Bar","nightlife",c(-0.0739554, 51.559511)
"1082","Bar: Leadbellys","nightlife",c(-0.0486053, 51.498233)
"1083","Bar: Spiritland","nightlife",c(-0.1253679, 51.536483)
"1084","Bar: Trapeze Bar","nightlife",c(-0.0833109, 51.5257616)
"1085","Bar: Genuine Liquorette","nightlife",c(-0.1331095, 51.5166782)
"1086","Bar: Sevilla Mia","nightlife",c(-0.1319877, 51.5168468)
"1087","Bar: Mimi's Bar & Lounge","nightlife",c(-0.1354079, 51.5174202)
"1088","Bar: Ignition Brewery Taproom","nightlife",c(-0.051395, 51.4259913)
"1089","Bar: Mr Fogg's Society of Exploration","nightlife",c(-0.1236075, 51.509812)
"1090","Bar: Meraki Bar","nightlife",c(-0.1405103, 51.5191173)
"1091","Bar: Leaky cauldron","nightlife",c(-0.084135, 51.5124594)
"1092","Bar: W12 Studios","nightlife",c(-0.2277899, 51.5141562)
"1093","Bar: Blues Kitchen","nightlife",c(-0.1412397, 51.5370654)
"1094","Bar: Everyman Bar","nightlife",c(-0.0790756, 51.4190683)
"1095","Bar: Seedlip Pop up bar (Closed)","nightlife",c(-0.1508778, 51.5133827)
"1096","Bar: 45 Jermyn Street","nightlife",c(-0.1382684, 51.507935)
"1097","Bar: Battersea Brewery","nightlife",c(-0.1470581, 51.4829576)
"1098","Bar: Nirvana Bar","nightlife",c(-0.1594032, 51.5152864)
"1099","Bar: The Crown","nightlife",c(0.0122432, 51.5691318)
"1100","Bar: Hisar Meze Bar","nightlife",c(0.1020017, 51.3787797)
"1101","Bar: La Transilvania","nightlife",c(-0.0263031, 51.5700564)
"1102","Bar: The Pyramid","nightlife",c(0.0272582, 51.5082857)
"1103","Bar: Njoy Bar & Lounge","nightlife",c(-0.0654171, 51.3201684)
"1104","Bar: Wetherspoons Plough & Harrow","nightlife",c(-0.2314102, 51.4926663)
"1105","Bar: Elba bar","nightlife",c(-0.1103051, 51.5028099)
"1106","Bar: Queen Elizabeth Roof Garden & Bar","nightlife",c(-0.1165432, 51.5064953)
"1107","Bar: Metropolitan Bar","nightlife",c(-0.1565863, 51.5225574)
"1108","Bar: Old Toms Bar","nightlife",c(-0.0833658, 51.51285)
"1109","Bar: The Sampler Wine Bar","nightlife",c(-0.2166663, 51.4612969)
"1110","Bar: Paper Dress Vintage","nightlife",c(-0.0546864, 51.5473553)
"1111","Bar: Elgin","nightlife",c(-0.2089465, 51.5160849)
"1112","Bar: The Basement Bar","nightlife",c(-0.0187358, 51.418476)
"1113","Bar: Summer Spritz Bar","nightlife",c(-0.1265854, 51.5353201)
"1114","Bar: Expat Explore Tours","nightlife",c(-0.0509465, 51.4968415)
"1115","Bar: Mezzanine","nightlife",c(-0.0075761, 51.5452273)
"1116","Bar: Girlfriend","nightlife",c(-0.164924, 51.4609783)
"1117","Bar: Fantazya","nightlife",c(-0.1228169, 51.4873468)
"1118","Bar: Rose Bar Merano","nightlife",c(-0.1225562, 51.4899138)
"1119","Bar: Fourpure Basecamp Taproom","nightlife",c(-0.0535685, 51.4889927)
"1120","Bar: HUCKSTER","nightlife",c(-0.1824475, 51.5194169)
"1121","Bar: Double Standard","nightlife",c(-0.1247766, 51.5293663)
"1122","Bar: Serpentine Coffee House","nightlife",c(-0.1728819, 51.5055792)
"1123","Bar: Brew Club","nightlife",c(-0.0537681, 51.5472058)
"1124","Bar: The Experiment","nightlife",c(-0.0520855, 51.5473745)
"1125","Bar: Hackney Church Brew Co","nightlife",c(-0.0524334, 51.5473604)
"1126","Bar: Riley's Sports bar","nightlife",c(-0.1502694, 51.4922283)
"1127","Bar: Jazz @ Pizza Express","nightlife",c(-0.1333176, 51.5150535)
"1128","Bar: Neckstamper Tap Room","nightlife",c(-0.0379212, 51.5693089)
"1129","Bar: Signature Brew Taproom","nightlife",c(-0.0429614, 51.5916671)
"1130","Bar: Exhale Taproom","nightlife",c(-0.0414688, 51.5932478)
"1131","Bar: OPS Wines","nightlife",c(-0.0740918, 51.499017)
"1132","Bar: The Cheshire Cat","nightlife",c(-0.1971152, 51.518814)
"1133","Bar: cépage[s]","nightlife",c(-0.1947407, 51.5188194)
"1134","Bar: Renegade Urban Winery and Bar","nightlife",c(-0.0563584, 51.5270552)
"1135","Bar: Old Street Brewery & Taproom","nightlife",c(-0.0563595, 51.5269805)
"1136","Bar: Backyard Bar and Kitchen","nightlife",c(-0.0553149, 51.5254204)
"1137","Bar: hwk","nightlife",c(-0.0247505, 51.5430758)
"1138","Bar: Juicebaby","nightlife",c(-0.1980214, 51.5145861)
"1139","Bar: Negozio Classica","nightlife",c(-0.2030819, 51.513434)
"1140","Bar: The Stables Bar","nightlife",c(-0.18656, 51.502016)
"1141","Bar: 140 Portobello","nightlife",c(-0.2041731, 51.5146122)
"1142","Bar: Trailer Happiness","nightlife",c(-0.2046274, 51.5149992)
"1143","Bar: Soif","nightlife",c(-0.1636913, 51.460813)
"1144","Bar: The Little Yellow Door","nightlife",c(-0.2033844, 51.5176017)
"1145","Bar: Mau Mau Bar","nightlife",c(-0.2067149, 51.517867)
"1146","Bar: The Chilled Eskimo","nightlife",c(-0.2118021, 51.5248374)
"1147","Bar: T-Bird","nightlife",c(-0.0994926, 51.5613658)
"1148","Bar: Ariadne's Nectar Bar","nightlife",c(-0.2242178, 51.5181472)
"1149","Bar: Park Fever","nightlife",c(-0.0004662, 51.4532538)
"1150","Bar: Piano","nightlife",c(-0.1930065, 51.5012651)
"1151","Bar: Kens Bar & Garden","nightlife",c(-0.1836946, 51.4953415)
"1152","Bar: Ballie Ballerson Soho","nightlife",c(-0.1363857, 51.5155639)
"1153","Bar: The Truth","nightlife",c(-0.1093846, 51.6108107)
"1154","Bar: rumba","nightlife",c(-0.1332728, 51.511216)
"1155","Bar: Jin Bo Law","nightlife",c(-0.0759541, 51.5141881)
"1156","Bar: Roof East","nightlife",c(-0.0011827, 51.5418322)
"1157","Bar: Eclipse","nightlife",c(-0.1832525, 51.4908888)
"1158","Bar: Simply Snacks","nightlife",c(-0.4766643, 51.4836063)
"1159","Bar: Janet’s Bar","nightlife",c(-0.1753174, 51.4936664)
"1160","Bar: Phineas","nightlife",c(-0.1334, 51.5257384)
"1161","Bar: Richard Mully's Basement Bar","nightlife",c(-0.1350076, 51.5250783)
"1162","Bar: Jürgen's Lounge","nightlife",c(-0.2814679, 51.5892949)
"1163","Bar: The Watergate","nightlife",c(-0.026215, 51.4817765)
"1164","Bar: Jak's Bars","nightlife",c(-0.1674016, 51.4943277)
"1165","Bar: Bottles Chelsea","nightlife",c(-0.1673644, 51.4935265)
"1166","Bar: Kosmopol","nightlife",c(-0.1789994, 51.4873078)
"1167","Bar: Wine Not?","nightlife",c(-0.1783508, 51.487465)
"1168","Bar: The Askew","nightlife",c(-0.2448919, 51.5066198)
"1169","Bar: The Acton Vale Club","nightlife",c(-0.2446946, 51.5066276)
"1170","Bar: Gravity Well Taproom","nightlife",c(-0.007739, 51.5697138)
"1171","Bar: La Barrique","nightlife",c(0.0257096, 51.5089386)
"1172","Bar: Azteca","nightlife",c(-0.1759581, 51.4842712)
"1173","Bar: soda and friends","nightlife",c(0.0063372, 51.5135154)
"1174","Bar: Clapton Craft","nightlife",c(-0.0033775, 51.5871876)
"1175","Bar: Unwined","nightlife",c(-0.1661887, 51.4288516)
"1176","Bar: Secret Bar","nightlife",c(-0.1653473, 51.4291845)
"1177","Bar: Graveney Gin","nightlife",c(-0.1658965, 51.4287707)
"1178","Bar: The Hill Station","nightlife",c(-0.166827, 51.4285115)
"1179","Bar: Henny’s Wine Bar","nightlife",c(-0.1666163, 51.4284674)
"1180","Bar: Tap 13","nightlife",c(-0.1668311, 51.4282623)
"1181","Bar: Bayou Bar","nightlife",c(-0.1670365, 51.4286154)
"1182","Bar: Bar Sport","nightlife",c(-0.1667203, 51.4288293)
"1183","Bar: Subplot 57","nightlife",c(-0.0544113, 51.4371845)
"1184","Bar: Distortion Brewery","nightlife",c(-0.1393461, 51.4707294)
"1185","Bar: Escape Bar","nightlife",c(-0.2332622, 51.5011766)
"1186","Bar: Drfo","nightlife",c(-0.0997134, 51.5618447)
"1187","Bar: Northern Soul Bar & Kitchen","nightlife",c(-0.137240987440876, 51.5610558454658)
"1188","Bar: Hop, Burns and Black","nightlife",c(-0.0697519373448329, 51.4620918453507)
"1189","Bar: Gordon's Wine Bar","nightlife",c(-0.12331420584201, 51.5079188440521)
"1190","Bar: Canavans Pool Hall","nightlife",c(-0.0667982880795595, 51.4671326543401)
"1191","Bar: Brondes Age","nightlife",c(-0.201833078017909, 51.5454478058838)
"1192","Bar: Tola","nightlife",c(-0.0705099371687209, 51.4730902434912)
"1193","Bar: Wingmans","nightlife",c(-0.201976066119176, 51.5455878544949)
"1194","Bar: Social","nightlife",c(-0.0666956117162671, 51.4698806390792)
"1195","Bar: John the Unicorn","nightlife",c(-0.0674908884285476, 51.4688092145652)
"1196","Bar: The Four Quarters","nightlife",c(-0.0669002314409293, 51.4680228371394)
"1197","Bar: Flor","nightlife",c(-0.0899411620059651, 51.5052393887003)
"1198","Bar: Tap and Bottle Wine Bar","nightlife",c(-0.0948735395288824, 51.50408687785)
"1199","Bar: Sakaya Cocktail Bar","nightlife",c(-0.204963284317153, 51.5355766645819)
"1200","Bar: Mr Fogg's House of Botanicals","nightlife",c(-0.136627033756688, 51.5188741500669)
"1201","Bar: Cafe Kick","nightlife",c(-0.109073878138488, 51.5260427764534)
"1202","Bar: The Hide Bar","nightlife",c(-0.0822127943751805, 51.5021373922879)
"1203","Bar: The Old School Yard","nightlife",c(-0.0879664621462951, 51.5003951513882)
"1204","Bar: The Gardens","nightlife",c(-0.190102650267919, 51.546546165628)
"1205","Bar: Anam","nightlife",c(-0.110658636311019, 51.5335096337097)
"1206","Bar: 'Round Midnight","nightlife",c(-0.107065440242404, 51.533761485405)
"1207","Bar: Dalston Eastern Curve Garden","nightlife",c(-0.0737012461432549, 51.5467377424803)
"1208","Bar: The Sipping Room","nightlife",c(-0.0225870084750575, 51.5074650452018)
"1209","Bar: Rum & Sugar","nightlife",c(-0.0235418437565696, 51.5075433102682)
"1210","Bar: Vinoteca","nightlife",c(-0.101937386292142, 51.520107203317)
"1211","Bar: The Marylebone","nightlife",c(-0.152031222974516, 51.5199037431122)
"1212","Bar: Nineteentwenty","nightlife",c(-0.100569942001315, 51.5232221275664)
"1213","Bar: Elk Bar","nightlife",c(-0.197472648032877, 51.4802826747692)
"1214","Bar: Kona Kai","nightlife",c(-0.192323913271327, 51.4801392246132)
"1215","Bar: Chapter Coffee Co.","nightlife",c(-0.207069795905091, 51.4920039289262)
"1216","Bar: Mama Nilssa's Bar","nightlife",c(-0.111159367382004, 51.5514910785161)
"1217","Bar: Bar & Co","nightlife",c(-0.114933455950433, 51.5103475780294)
"1218","Bar: Royal Star","nightlife",c(-0.0926132110217129, 51.5282457434749)
"1219","Bar: 37 Jewry","nightlife",c(-0.0765159602121523, 51.5133899491931)
"1220","Bar: Cabotte","nightlife",c(-0.0916942680641643, 51.5148939872107)
"1221","Bar: Wood Street","nightlife",c(-0.0929638395602124, 51.518754481749)
"1222","Bar: The O Bar","nightlife",c(-0.133347762529555, 51.5125003061181)
"1223","Bar: Adriatico","nightlife",c(-0.0786479594442699, 51.5138325601018)
"1224","Bar: The Bookclub","nightlife",c(-0.0815228442687974, 51.524560122394)
"1225","Bar: Brown Sugar","nightlife",c(-0.123194431749224, 51.5170375880737)
"1226","Bar: London Cocktail","nightlife",c(-0.125984510550649, 51.5165895815191)
"1227","Bar: G-A-Y","nightlife",c(-0.13098872649902, 51.5134810927346)
"1228","Bar: Compton Cross","nightlife",c(-0.129658089027591, 51.5138872627087)
"1229","Bar: Freedom Bar","nightlife",c(-0.133311245023011, 51.5127841451694)
"1230","Bar: Village","nightlife",c(-0.133380812233309, 51.5124413433971)
"1231","Bar: Black Rock","nightlife",c(-0.0846056439026685, 51.5213618354851)
"1232","Bar: Planet of the Grapes","nightlife",c(-0.0936122345366927, 51.5125796971985)
"1233","Bar: Bar Remo","nightlife",c(-0.0932310571223561, 51.5136758442041)
"1234","Bar: Four Sisters Townhouse","nightlife",c(-0.0939582757457066, 51.5133601752538)
"1235","Bar: Proud Camden","nightlife",c(-0.148649879474577, 51.5426257907653)
"1236","Bar: Callooh Callay","nightlife",c(-0.0798943107304105, 51.5262425615853)
"1237","Bar: B@1","nightlife",c(-0.0808802809353834, 51.5266917393312)
"1238","Bar: Old Street Records","nightlife",c(-0.0807280581383441, 51.5267195043702)
"1239","Bar: The Hoxton Pony","nightlife",c(-0.0801412902038753, 51.5253735942439)
"1240","Bar: Juno","nightlife",c(-0.0781835491732694, 51.5266933695607)
"1241","Bar: Tuk Tuk","nightlife",c(-0.0777579475174786, 51.5275697452807)
"1242","Bar: Catch","nightlife",c(-0.0777969135101841, 51.527753991865)
"1243","Bar: Mixology Events","nightlife",c(-0.078273474858214, 51.5285917127539)
"1244","Bar: Cirque","nightlife",c(-0.0808252971494853, 51.5269298698211)
"1245","Bar: Nikki's","nightlife",c(-0.0802798922856633, 51.5274633087785)
"1246","Bar: Mother Live","nightlife",c(-0.0804164858079027, 51.5271517950461)
"1247","Bar: Trafik","nightlife",c(-0.0805351258681229, 51.5270241463818)
"1248","Bar: Far Rockaway","nightlife",c(-0.0805757980882215, 51.5254102323236)
"1249","Bar: Bedroom Bar","nightlife",c(-0.0796056466554645, 51.5261173852054)
"1250","Bar: The Old Change Bar & Kitchen","nightlife",c(-0.0974060097642333, 51.512429369096)
"1251","Bar: Bedouins Hideaway","nightlife",c(-0.117639988077939, 51.3532111464396)
"1252","Bar: Jazz on the hill","nightlife",c(-0.102602886728047, 51.4529105413887)
"1253","Bar: Cocktail Embassy","nightlife",c(-0.0793416212092515, 51.4196190521852)
"1254","Bar: Memorybox","nightlife",c(-0.0799977039240205, 51.4195726002506)
"1255","Bar: Craft & Courage","nightlife",c(-0.0817359204380834, 51.4196734109976)
"1256","Bar: Sports Bar & Grill","nightlife",c(-0.163775522666109, 51.5223941895008)
"1257","Bar: Walker Briggs","nightlife",c(-0.0818728659609055, 51.4199696966117)
"1258","Bar: The Faber Fox","nightlife",c(-0.0817400338711501, 51.4199423517943)
"1259","Bar: SLVR","nightlife",c(-0.101342817136199, 51.3733693113951)
"1260","Bar: Funhouse","nightlife",c(-0.099813384531908, 51.3707011492601)
"1261","Bar: Royal Standard","nightlife",c(-0.169889324762312, 51.5179056608007)
"1262","Bar: The Gantry","nightlife",c(-0.0363088789159342, 51.4635584888535)
"1263","Bar: 23 Grosvenor Gardens","nightlife",c(-0.145863068069484, 51.4972590955998)
"1264","Bar: South Beats","nightlife",c(-0.0996002904357075, 51.3683786449779)
"1265","Bar: Cheeky Chicos","nightlife",c(-0.177257937512181, 51.4604005953638)
"1266","Bar: The Schoolhouse","nightlife",c(-0.175789051368081, 51.4604291225324)
"1267","Bar: Sahara","nightlife",c(-0.0992695350811459, 51.365908372811)
"1268","Bar: Playground","nightlife",c(-0.0987977059514241, 51.3655339497935)
"1269","Bar: Apres","nightlife",c(-0.151627884734023, 51.5151693701957)
"1270","Bar: Pickwick's Wine Bar","nightlife",c(-0.256044780994879, 51.4917085767258)
"1271","Bar: Green Note","nightlife",c(-0.145949218139164, 51.5372913920386)
"1272","Bar: Greenwich Yacht Club Restaurant & Bar","nightlife",c(0.018641908758232, 51.4954428272469)
"1273","Bar: Chapel Down","nightlife",c(-0.122691742922126, 51.5351621548433)
"1274","Bar: Vortex Jazz Club","nightlife",c(-0.076661641525988, 51.5488036291311)
"1275","Bar: Tereza Joanne","nightlife",c(0.0701588468339242, 51.5033143137705)
"1276","Bar: Fifty Five","nightlife",c(-0.145631991462146, 51.5401160334855)
"1277","Bar: Etrusco","nightlife",c(-0.138870861063302, 51.5341819114648)
"1278","Bar: The Comedy Pub","nightlife",c(-0.131972419591956, 51.5097358455855)
"1279","Bar: Smoked Bone","nightlife",c(-0.0786217835261009, 51.4194632323601)
"1280","Bar: Joe Lounge","nightlife",c(-0.0795510605146729, 51.41907604599)
"1281","Bar: The Whisky Bar","nightlife",c(-0.147436399983737, 51.5047439651292)
"1282","Bar: Tanyard Lane Bar & Kitchen","nightlife",c(0.149354575017433, 51.4416410979727)
"1283","Bar: Oslo","nightlife",c(-0.0556000609217508, 51.5471622436427)
"1284","Bar: Market Place","nightlife",c(-0.140446008827562, 51.5164096371472)
"1285","Bar: Daly's Wine Bar","nightlife",c(-0.113117562505735, 51.5130421830706)
"1286","Bar: Be at One","nightlife",c(-0.134298722519537, 51.5115246542313)
"1287","Bar: Masti","nightlife",c(-0.298803283616961, 51.5522333590194)
"1288","Bar: MAP Maison","nightlife",c(-0.0769427869065576, 51.5387028975962)
"1289","Bar: Bar 45","nightlife",c(-0.151596699459251, 51.5063538852075)
"1290","Bar: Apples and Pears","nightlife",c(-0.0700198567794561, 51.516938183834)
"1291","Bar: Kill the Cat","nightlife",c(-0.071633014184954, 51.5186244842935)
"1292","Bar: Cafe 1001","nightlife",c(-0.0720692049971601, 51.5207813179345)
"1293","Bar: The Big Chill","nightlife",c(-0.0727044101039662, 51.5212483079748)
"1294","Bar: Exit","nightlife",c(-0.0714631870047279, 51.5225089941781)
"1295","Bar: Alcotraz Cocktail Prison Bar","nightlife",c(-0.0713745157974479, 51.5243747946375)
"1296","Bar: Casa Blue","nightlife",c(-0.0714816030388547, 51.5247994462978)
"1297","Bar: Verge","nightlife",c(-0.0717976506356265, 51.5246689613391)
"1298","Bar: Monty's Lounge","nightlife",c(-0.0717026213168364, 51.5242232120364)
"1299","Bar: Hookah Lounge","nightlife",c(-0.0716264674627396, 51.5237750610366)
"1300","Bar: La Fabrica","nightlife",c(-0.109244785422884, 51.567638722478)
"1301","Bar: Silver Lining","nightlife",c(-0.0544902327633547, 51.5461943111616)
"1302","Bar: Jakata London","nightlife",c(-0.139111545494184, 51.5131424672988)
"1303","Bar: Ain't Nothing But...","nightlife",c(-0.13951373579336, 51.5129973476059)
"1304","Bar: The Pigeon","nightlife",c(-0.0896044674788114, 51.4739525995027)
"1305","Bar: The Alley Cat Bar","nightlife",c(-0.129158631039739, 51.5152178065585)
"1306","Bar: The Crobar","nightlife",c(-0.130243720943265, 51.5148945954837)
"1307","Bar: 68 and Boston","nightlife",c(-0.131128762636414, 51.5147515590763)
