"name","n_museum","n_theatre","n_nightlife"
"Reinickendorf",6,3,68
"Charlottenburg-Wilmersdorf",25,29,193
"Treptow-Köpenick",17,11,77
"Pankow",10,20,207
"Neukölln",9,10,241
"Lichtenberg",7,5,82
"Marzahn-Hellersdorf",4,5,34
"Spandau",7,3,52
"Steglitz-Zehlendorf",20,6,67
"Mitte",65,43,373
"Friedrichshain-Kreuzberg",21,29,379
"Tempelhof-Schöneberg",14,12,175
