"","name","religion","geometry"
"83","Mevlana Moschee e.V.","muslim",c(13.4201561607123, 52.4994120112921)
"84","Kulturzentrum Anatolischer Aleviten (Cemevi)","muslim",c(13.417586813144, 52.5038163104459)
"85","Ayasofya Moschee","muslim",c(13.3424880274769, 52.5314857319322)
"86","Kocatepe Moschee","muslim",c(13.2670535453305, 52.5376170746751)
"87","Dar-al-Salam-Moschee - Haus des Friedens","muslim",c(13.4269917570315, 52.4805964505237)
"88","Umar Ibn Al-Khattab-Moschee","muslim",c(13.426832580841, 52.4988117350678)
"89","IGMG Medine Moschee Berlin","muslim",c(13.3395629176246, 52.5964840203878)
"90","Al Torath e.V. Moschee und Islamisches Kulturzentrum","muslim",c(13.377207925801, 52.4653452051828)
"91","Chadidscha Moschee","muslim",c(13.4305151297567, 52.5723671380272)
"92","Fatih Moschee","muslim",c(13.4417194206669, 52.4982592847379)
"93","Büyük Camii","muslim",c(13.1939370612144, 52.5284569557104)
"94","Martin-Luther-Kapelle","protestant",c(13.2966171, 52.6010205)
"95","Stadtmission Gemeinde Friedrichshagen","protestant",c(13.623567, 52.4475005)
"96","Dreifaltigkeitskirche","protestant",c(13.3852437, 52.5041896)
"97","Evangelische Weihnachtskirche","protestant",c(13.2371169, 52.5471682)
"98","Evangelische Kirchengemeinde Apostel Petrus","protestant",c(13.3522403, 52.5959706)
"99","Stadtmission Gemeinde im Zentrum am Hauptbahnhof","protestant",c(13.3634866, 52.5263398)
"100","Evangelische Gemeinschaft Friedenau","protestant",c(13.3275731, 52.4716845)
"101","Schloßkirche","protestant",c(13.5739658, 52.4436435)
"102","Stadtmission Gemeinde Tegel","protestant",c(13.2752084, 52.5751024)
"103","Stadtmission Gemeinde Frankfurter Allee","protestant",c(13.4723349, 52.5134409)
"104","Stadtmission Gemeinde Wedding","protestant",c(13.386745, 52.5539109)
"105","Paulus-Gemeinde Berlin-Pankow e.V.","protestant",c(13.4068043, 52.5653374)
"106","Stadtmission Gemeinde Bizetstraße","protestant",c(13.4568597, 52.5486002)
"107","Zum Heilsbronnen","protestant",c(13.340774, 52.4912946)
"108","Greater Grace Evangelische Freikirche","protestant",c(13.3471464, 52.4789102)
"109","Matthias-Claudius‎-Gemeinde","protestant",c(13.2407799, 52.6135005)
"110","Kaiser-Wilhelm-Gedächtniskirche","protestant",c(13.3350328, 52.5047053)
"111","Stadtmission Gemeinde Friedrichsfelde Ost","protestant",c(13.5231746, 52.5129872)
"112","Stadtmission Gemeinde Pankow","protestant",c(13.4123837, 52.5606059)
"113","Stadtmission Gemeinde Wilmersdorf","protestant",c(13.2957393, 52.4971471)
"114","Junge Kirche Berlin - Lichtenberg","protestant",c(13.5029394, 52.5265782)
"115","Lutherkirchengemeinde","protestant",c(13.3665182, 52.4975351)
"116","Gemeindebüro (Küsterei) der Ev. Hephatha-Kirchengemeinde","protestant",c(13.4461976, 52.4418499)
"117","Philippus-Gemeinde","protestant",c(13.4277849, 52.5351382)
"118","Berlin Mesih'in Kilisesi","protestant",c(13.4427478, 52.4759459)
"119","Evangelische Kirchengemeinde Staaken","protestant",c(13.1659198, 52.5223755)
"120","Gemeinde Gierkezeile","protestant",c(13.3023897, 52.5142334)
"121","St. Nikolai-Kirche","protestant",c(13.2053581800269, 52.5383471404977)
"122","Albert-Schweitzer-Kirche","protestant",c(13.3092536827176, 52.5723834654888)
"123","Sühne-Christi-Kirche","protestant",c(13.2862868579653, 52.537978504631)
"124","Dietrich-Bonhoeffer-Kirche","protestant",c(13.3304876910867, 52.5843972254023)
"125","Neue Kaiser-Wilhelm-Gedächtniskirche","protestant",c(13.3346176343125, 52.5049069968658)
"126","Neuer Glockenturm","protestant",c(13.3355373924311, 52.5047209866265)
"127","Alter Glockenturm","protestant",c(13.3351912039341, 52.504780001026)
"128","Foyer","protestant",c(13.3341619735795, 52.5049734753565)
"129","Gemeindekapelle","protestant",c(13.3357692674779, 52.504871323105)
"130","Schlosskirche Buch","protestant",c(13.4985041236277, 52.6354072914425)
"131","Lukas-Gemeinde e.V.","protestant",c(13.3549690986407, 52.5015873790938)
"132","Sankt Matthäus-Kirche","protestant",c(13.3674514113538, 52.507923270432)
"133","Ev. Hoffnungskirche Neu-Tegel","protestant",c(13.2950048252428, 52.5926214151435)
"134","Dorfkirche Alt-Tegel","protestant",c(13.2772948167132, 52.5880325411265)
"135","Apostel-Paulus-Kirche","protestant",c(13.352743381449, 52.4891744113086)
"136","Gethsemane-Kirche","protestant",c(13.4161389266516, 52.5477165073283)
"137","Wichernkirche","protestant",c(13.2062835633232, 52.5676993399447)
"138","Sophienkirche","protestant",c(13.4001785168821, 52.5255473892192)
"139","Dorfkirche Bohnsdorf","protestant",c(13.556156607818, 52.3996234228931)
"140","Evangelische Verklärungskirche","protestant",c(13.5511370600777, 52.437890663862)
"141","Dorfkirche Schmöckwitz","protestant",c(13.6499083178684, 52.3755043221503)
"142","Zum Vaterhaus","protestant",c(13.4851903245709, 52.4650646652284)
"143","Paul-Gerhardt-Gemeindeheim","protestant",c(13.576985432171, 52.3948324413022)
"144","Friedenskirche","protestant",c(13.5167556342192, 52.4524720124555)
"145","Kapelle Georgen-Parochial 2","protestant",c(13.444458691682, 52.521062994656)
"146","St. Petri Kapelle","protestant",c(13.4419368422982, 52.5211021863376)
"147","Stiftskirche","protestant",c(13.1954503985719, 52.5697208899632)
"148","Kirche am Lietzensee","protestant",c(13.287351115777, 52.5043034743903)
"149","Zum Guten Hirten","protestant",c(13.3283829998009, 52.4717006086522)
"150","Kapernaum Kirche","protestant",c(13.3495692716332, 52.548535292066)
"151","Alte Nazarethkirche","protestant",c(13.3597856863713, 52.547271269091)
"152","Melanchthon-Kirche","protestant",c(13.1889588477582, 52.5212188603169)
"153","St. Peter und Paul","protestant",c(13.1176418352612, 52.424690440992)
"154","Sankt-Annen-Kirche","protestant",c(13.286596094353, 52.4586662014086)
"155","Petrus-Kirche","protestant",c(13.3280512190514, 52.4249856080796)
"156","Stadtkirche St. Laurentius","protestant",c(13.5756865543806, 52.4466046377513)
"157","St. Elisabeth-Kirche","protestant",c(13.3971987800622, 52.5331154572931)
"158","Lutherkirche","protestant",c(13.2045447905817, 52.5483052213676)
"159","Dorfkirche Giesensdorf","protestant",c(13.3115888882934, 52.421051664121)
"160","Zionskirche","protestant",c(13.4037698558484, 52.5346752659306)
"161","Alte Pfarrkirche Mahlsdorf","protestant",c(13.6124474585118, 52.5061024458053)
"162","Himmelfahrt und Frieden","protestant",c(13.3894851912338, 52.5445795019899)
"163","Jesus-Christus-Kirche Dahlem","protestant",c(13.2828166086388, 52.4499002884564)
"164","Dorfkirche Marienfelde","protestant",c(13.3676449737031, 52.4121840821428)
"165","Samariterkirche","protestant",c(13.4665067860955, 52.5179940310042)
"166","Hochmeisterkirche","protestant",c(13.300029633285, 52.4946977722488)
